experience_level,work_year,employment_type,company_size,job_title,company_location,salary_in_usd
2,2022,3,1,47,20,0.15378494294936926
3,2023,3,1,33,70,0.3481212404578437
3,2023,3,1,33,70,0.2806855067121034
2,2023,3,1,33,70,0.15705332817824613
2,2023,3,1,33,70,0.12423460442198586
0,2023,3,1,25,70,0.17953190609349293
0,2023,3,1,25,70,0.15705332817824613
3,2023,3,1,33,70,0.5549241572781141
3,2023,3,1,33,70,0.27843764892057876
0,2023,3,1,33,70,0.19684041108823294
0,2023,3,1,33,70,0.1273816053301204
3,2022,3,2,64,36,0.375790122013721
2,2023,3,1,47,20,0.12354451207998779
2,2023,3,1,25,70,0.1761601194062059
2,2023,3,1,25,70,0.1064765278689409
3,2023,3,1,47,70,0.4403643327908504
3,2023,3,1,47,70,0.28973088646519873
3,2023,3,1,25,70,0.3593605294154671
3,2023,3,1,25,70,0.30316408462735017
0,2023,3,1,33,70,0.12783117688842535
0,2023,3,1,33,70,0.11883974572232664
3,2023,3,1,47,70,0.37509553395613987
3,2023,3,1,47,70,0.24696763983923323
0,2023,3,1,33,70,0.26944621775448
0,2023,3,1,33,70,0.1907711950511163
3,2023,3,1,33,70,0.3566631000656375
3,2023,3,1,33,70,0.2716940755460047
3,2023,3,1,47,70,0.5212062904052439
3,2023,3,1,47,70,0.31440337358497356
2,2023,3,1,33,70,0.1907711950511163
2,2023,3,1,33,70,0.1907711950511163
3,2023,3,1,33,70,0.3020401557315878
3,2023,3,1,33,70,0.23437963620669502
3,2023,3,1,47,12,0.5684113040272621
3,2023,3,1,47,12,0.41555697420358406
2,2023,3,1,33,70,0.31440337358497356
2,2023,3,1,33,70,0.25820692879685664
3,2023,3,2,33,70,0.45062355575136903
3,2023,3,2,33,70,0.22606256237805372
3,2023,3,1,33,70,0.5549241572781141
3,2023,3,1,33,70,0.27843764892057876
3,2023,3,1,47,70,0.5273834036163537
3,2023,3,1,47,70,0.3477436003488676
3,2023,3,1,47,70,0.40723990037494273
3,2023,3,1,47,70,0.21886941744517477
3,2023,3,1,33,70,0.3593605294154671
3,2023,3,1,33,70,0.28585557963261016
3,2023,3,1,47,70,0.41555697420358406
